date,value1,value2
1/1/1929,3.2,0
1/1/1930,8.9,-3.7
1/1/1931,15.9,-8.3
1/1/1932,23.6,-11
1/1/1933,24.9,-4.8
1/1/1934,21.7,2.3
1/1/1935,20.1,1.1
1/1/1936,17,1.1
1/1/1937,14.3,4.1
1/1/1938,19,-0.5
1/1/1939,17.2,-0.8
1/1/1940,14.6,1
1/1/1941,9.9,5.2
1/1/1942,4.7,11
1/1/1943,1.9,7.8
1/1/1944,1.2,7.1
1/1/1945,1.9,4.6
1/1/1946,3.9,6.2
1/1/1947,3.6,8.5
1/1/1948,3.8,5.5
1/1/1949,6.1,0.1
1/1/1950,5.2,1.4
1/1/1951,3.3,6.1
1/1/1952,3,2
1/1/1953,2.9,2.2
1/1/1954,5.6,1.1
1/1/1955,4.4,1
1/1/1956,4.1,2.3
1/1/1957,4.3,3
1/1/1958,6.8,2.2
1/1/1959,5.5,2.2
1/1/1960,5.5,1.8
1/1/1961,6.7,1.3
1/1/1962,5.6,1.4
1/1/1963,5.6,1.3
1/1/1964,5.2,1.5
1/1/1965,4.5,1.3
1/1/1966,3.8,2.3
1/1/1967,3.8,3.1
1/1/1968,3.6,4.3
1/1/1969,3.5,4.7
1/1/1970,5,4.7
1/1/1971,6,4.7
1/1/1972,5.6,3.2
1/1/1973,4.9,3.8
1/1/1974,5.6,7.9
1/1/1975,8.5,8.4
1/1/1976,7.7,6.1
1/1/1977,7.1,6.4
1/1/1978,6.1,6.7
1/1/1979,5.9,7.3
1/1/1980,7.2,9.2
1/1/1981,7.6,8.7
1/1/1982,9.7,6.5
1/1/1983,9.6,5.2
1/1/1984,7.5,4.2
1/1/1985,7.2,4.1
1/1/1986,7,3.4
1/1/1987,6.2,3.2
1/1/1988,5.5,4.2
1/1/1989,5.3,4.1
1/1/1990,5.6,4
1/1/1991,6.9,3.5
1/1/1992,7.5,3
1/1/1993,6.9,2.7
1/1/1994,6.1,2.2
1/1/1995,5.6,2.1
1/1/1996,5.4,1.9
1/1/1997,4.9,1.7
1/1/1998,4.5,1.2
1/1/1999,4.2,1.3
1/1/2000,4,1.7
1/1/2001,4.7,1.8
1/1/2002,5.8,1.7
1/1/2003,6,1.5
1/1/2004,5.5,1.9
1/1/2005,5.1,2.2
1/1/2006,4.6,2.2
1/1/2007,4.6,2.2
1/1/2008,5.8,2.1
1/1/2009,9.3,1.2
1/1/2010,9.6,1.3
1/1/2011,8.9,1.4
1/1/2012,8.1,1.8
1/1/2013,7.6,1.3
